Date,Open,High,Low,Close,Volume
2013-01-02,7.0,7.09,6.942,7.072,5974000
2013-01-03,7.036,7.09,6.95,6.954,3710000
2013-01-04,6.96,6.96,6.784,6.88,3370000
2013-01-07,6.96,6.96,6.78,6.868,2210000
2013-01-08,6.9,6.9,6.622,6.736,6420000
2013-01-09,6.802,6.838,6.68,6.728,3490000
2013-01-10,6.774,6.798,6.676,6.706,4612500
2013-01-11,6.808,6.808,6.422,6.582,7816000
2013-01-14,6.616,6.676,6.57,6.652,4625500
2013-01-15,6.622,6.85,6.616,6.78,8121000
2013-01-16,6.77,6.846,6.746,6.82,6891000
2013-01-17,6.832,6.97,6.784,6.876,7183500
2013-01-18,6.948,6.956,6.764,6.904,17775500
2013-01-22,6.912,7.11,6.852,7.038,9601000
2013-01-23,7.004,7.248,6.992,7.2,7821500
2013-01-24,7.2,7.544,7.168,7.398,9852000
2013-01-25,7.4,7.508,7.36,7.396,6439000
2013-01-28,7.372,7.742,7.372,7.606,9930000
2013-01-29,7.62,7.688,7.426,7.59,7133000
2013-01-30,7.57,7.6,7.486,7.504,4840500
2013-01-31,7.574,7.574,7.386,7.502,4507000
2013-02-01,7.634,7.7,7.524,7.66,5503000
2013-02-04,7.68,7.684,7.518,7.548,5640000
2013-02-05,7.6,7.73,7.536,7.626,6551000
2013-02-06,7.636,7.878,7.58,7.834,9466000
2013-02-07,7.838,7.936,7.79,7.896,5983000
2013-02-08,7.89,8.0,7.828,7.848,5699000
2013-02-11,7.596,7.83,7.5,7.684,16331500
2013-02-12,7.69,7.774,7.458,7.578,11306500
2013-02-13,7.66,7.8,7.61,7.69,4834000
2013-02-14,7.728,7.75,7.642,7.654,4953500
2013-02-15,7.7,7.702,7.39,7.408,10088000
2013-02-19,7.472,7.858,7.462,7.856,13507000
2013-02-20,7.86,7.93,7.692,7.708,15610000
2013-02-21,7.298,7.478,6.908,7.032,45189000
2013-02-22,7.144,7.278,7.12,7.222,12736500
2013-02-25,7.23,7.35,6.868,6.876,14447000
2013-02-26,6.892,6.992,6.76,6.886,13814500
2013-02-27,6.882,7.082,6.88,7.02,9796000
2013-02-28,7.178,7.22,6.874,6.966,9824500
2013-03-01,7.0,7.016,6.85,6.93,7733000
2013-03-04,6.954,7.166,6.94,7.116,8788500
2013-03-05,7.2,7.384,7.158,7.33,10435000
2013-03-06,7.402,7.576,7.394,7.538,5750000
2013-03-07,7.546,7.73,7.376,7.646,5791500
2013-03-08,7.612,7.888,7.472,7.694,4560500
2013-03-11,7.774,7.888,7.73,7.82,7897500
2013-03-12,7.78,7.876,7.77,7.824,6375500
2013-03-13,7.8,7.898,7.762,7.796,4110000
2013-03-14,7.78,7.782,7.354,7.37,10105000
2013-03-15,7.328,7.33,7.042,7.058,16398000
2013-03-18,7.06,7.212,6.984,7.03,6580500
2013-03-19,7.05,7.12,6.988,7.016,5492500
2013-03-20,7.052,7.214,7.032,7.19,7115000
2013-03-21,7.19,7.412,7.148,7.202,5731500
